quantile,value,type,location,target,forecast_date,target_end_date
0.010,3580,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.025,3721,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.050,3902,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.100,4075,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.150,4189,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.200,4327,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.250,4420,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.300,4496,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.350,4590,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.400,4687,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.450,4774,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.500,4878,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
NA,4878,point,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.550,4968,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.600,5043,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.650,5145,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.700,5241,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.750,5349,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.800,5473,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.850,5644,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.900,5830,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.950,6167,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.975,6388,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.990,6707,quantile,US,1 wk ahead inc death,2021-04-25,2021-05-01
0.010,2940,quantile,US,2 wk ahead inc death,2021-04-25,2021-05-08
0.025,3105,quantile,US,2 wk ahead inc death,2021-04-25,2021-05-08
0.050,3333,quantile,US,2 wk ahead inc death,2021-04-25,2021-05-08
0.100,3571,quantile,US,2 wk ahead inc death,2021-04-25,2021-05-08
0.150,3742,quantile,US,2 wk ahead inc death,2021-04-25,2021-05-08
0.200,3862,quantile,US,2 wk ahead inc death,2021-04-25,2021-05-08
0.250,3970,quantile,US,2 wk ahead inc death,2021-04-25,2021-05-08
0.300,4097,quantile,US,2 wk ahead inc death,2021-04-25,2021-05-08
0.350,4195,quantile,US,2 wk ahead inc death,2021-04-25,2021-05-08
0.400,4305,quantile,US,2 wk ahead inc death,2021-04-25,2021-05-08
0.450,4408,quantile,US,2 wk ahead inc death,2021-04-25,2021-05-08
